epoch,global_step,total_loss,spectrum_loss,rfi_loss,alpha,beta
36,8331,0.626204,0.216857,0.486423,0.885798,0.6500,0.3500
36,8381,0.787882,0.181543,0.733832,0.888260,0.6500,0.3500
36,8431,0.729449,0.171071,0.690428,0.885532,0.8000,0.2000
37,8511,0.754817,0.122231,0.682620,0.888897,0.6500,0.3500
37,8561,0.662403,0.214633,0.541707,0.886553,0.6500,0.3500
37,8611,0.347233,0.146842,0.201286,0.889114,0.7878,0.2122
37,8661,0.604033,0.156971,0.414394,0.887424,0.5991,0.4009
38,8741,0.577531,0.216244,0.442683,0.892178,0.7000,0.3000
38,8791,0.359662,0.155806,0.161873,0.886142,0.7269,0.2731
38,8841,1.097034,0.180039,1.209428,0.888300,0.6500,0.3500
38,8891,0.498270,0.184769,0.285703,0.893038,0.6500,0.3500
39,8971,0.639847,0.119002,0.482683,0.885201,0.6095,0.3905
39,9021,0.565834,0.164218,0.374694,0.881814,0.6231,0.3769
39,9071,0.536053,0.167582,0.343981,0.892758,0.6500,0.3500
39,9121,0.885050,0.199991,0.884399,0.887652,0.8000,0.2000
40,9201,0.769094,0.127195,0.710072,0.878707,0.6500,0.3500
40,9251,0.457757,0.160792,0.221736,0.896081,0.6500,0.3500
40,9301,0.516106,0.160491,0.422640,0.889969,0.8000,0.2000
40,9351,0.508437,0.217562,0.223587,0.885332,0.5695,0.4305
41,9431,0.624834,0.214157,0.370899,0.888655,0.5095,0.4905
41,9481,0.489046,0.198634,0.391151,0.880627,0.8000,0.2000
41,9531,0.575409,0.174296,0.371907,0.879517,0.5991,0.4009
41,9581,0.446909,0.192630,0.212136,0.882916,0.6500,0.3500
42,9661,0.354347,0.232865,0.221582,0.885408,0.8000,0.2000
42,9711,0.520750,0.151893,0.323171,0.887682,0.6500,0.3500
42,9761,1.396610,0.242093,1.673380,0.882610,0.6500,0.3500
42,9811,0.571958,0.226855,0.492322,0.890500,0.8000,0.2000
43,9891,0.478635,0.158752,0.231068,0.887897,0.6231,0.3769
43,9941,0.756773,0.223640,0.687550,0.885328,0.6500,0.3500
43,9991,1.753972,0.225327,1.970926,0.886158,0.8000,0.2000
43,10041,0.680681,0.194085,0.538317,0.893425,0.5991,0.4009
44,10121,0.629849,0.229637,0.497889,0.874916,0.6500,0.3500
44,10171,0.671064,0.175573,0.615257,0.894290,0.8000,0.2000
44,10221,0.616756,0.163011,0.473169,0.883418,0.6500,0.3500
44,10271,0.514156,0.148104,0.332552,0.882113,0.6695,0.3305
45,10351,0.511044,0.183008,0.418304,0.882003,0.8000,0.2000
45,10401,0.614833,0.096713,0.468891,0.885869,0.6500,0.3500
45,10451,0.479625,0.156724,0.263434,0.881121,0.6500,0.3500
45,10501,0.912741,0.161224,0.918667,0.889035,0.8000,0.2000
46,10581,0.937636,0.193674,0.965000,0.886816,0.6500,0.3500
46,10631,0.809839,0.176632,0.763266,0.896330,0.6500,0.3500
46,10681,0.393097,0.201247,0.270061,0.885239,0.8000,0.2000
46,10731,0.618233,0.187171,0.390957,0.884069,0.5391,0.4609
47,10811,0.567393,0.204392,0.406573,0.878322,0.6591,0.3409
47,10861,0.497378,0.142361,0.391521,0.890410,0.7878,0.2122
47,10911,0.477975,0.155466,0.256998,0.888361,0.6500,0.3500
47,10961,0.693539,0.146323,0.587194,0.891037,0.6500,0.3500
48,11041,0.419372,0.223907,0.303934,0.881121,0.8000,0.2000
48,11091,0.642870,0.197356,0.511279,0.887253,0.6500,0.3500
48,11141,0.533795,0.184688,0.259079,0.899295,0.5709,0.4291
48,11191,0.544405,0.255434,0.433631,0.878330,0.7509,0.2491
49,11271,0.550211,0.175867,0.287119,0.888040,0.5622,0.4378
49,11321,0.990669,0.163289,1.044541,0.890619,0.6500,0.3500
49,11371,0.383525,0.126336,0.259350,0.880227,0.8000,0.2000
49,11421,0.812462,0.186654,0.771461,0.888605,0.6500,0.3500
50,11501,0.410566,0.128996,0.155133,0.884941,0.6500,0.3500
50,11551,0.804206,0.193541,0.783779,0.885911,0.8000,0.2000
50,11601,0.537932,0.157609,0.234913,0.891716,0.5386,0.4614
50,11651,0.447203,0.208465,0.208696,0.891905,0.6509,0.3491
51,11731,0.488474,0.170106,0.389095,0.885992,0.8000,0.2000
51,11781,0.482015,0.163490,0.211792,0.885831,0.5991,0.4009
51,11831,0.441305,0.149519,0.206166,0.877992,0.6500,0.3500
51,11881,0.442679,0.238329,0.331664,0.886737,0.8000,0.2000
52,11961,0.414683,0.225180,0.158530,0.890395,0.6500,0.3500
52,12011,0.689262,0.285468,0.589248,0.882630,0.6591,0.3409
52,12061,0.523759,0.215165,0.433144,0.886218,0.8000,0.2000
52,12111,0.631155,0.207997,0.494306,0.885305,0.6500,0.3500
53,12191,0.495925,0.183692,0.284569,0.888444,0.6500,0.3500
53,12241,0.708878,0.207546,0.606770,0.890762,0.6405,0.3595
