epoch,global_step,total_loss,spectrum_loss,rfi_loss,alpha,beta
198,45591,0.565338,0.185294,0.306505,0.881689,0.5500,0.4500
198,45641,0.658149,0.153551,0.538008,0.881268,0.6500,0.3500
198,45691,0.438232,0.145807,0.242852,0.894118,0.7000,0.3000
199,45771,0.646825,0.192676,0.519887,0.882567,0.6500,0.3500
199,45821,0.719604,0.148980,0.625309,0.894724,0.6500,0.3500
199,45871,0.485694,0.168187,0.351653,0.889759,0.7509,0.2491
199,45921,0.360936,0.115292,0.078401,0.885642,0.6500,0.3500
200,46001,0.391330,0.143744,0.158483,0.887161,0.6805,0.3195
200,46051,0.387358,0.170447,0.262639,0.886233,0.8000,0.2000
200,46101,0.455679,0.131960,0.224844,0.884373,0.6500,0.3500
200,46151,0.797325,0.138761,0.747176,0.890460,0.6500,0.3500
201,46231,0.570224,0.229461,0.281415,0.886996,0.5231,0.4769
201,46281,0.489467,0.173922,0.160509,0.880467,0.5431,0.4569
201,46331,0.411358,0.153384,0.157836,0.882186,0.6500,0.3500
201,46381,0.586436,0.165857,0.511202,0.887376,0.8000,0.2000
202,46461,0.535894,0.146382,0.350188,0.880777,0.6500,0.3500
