epoch,global_step,total_loss,spectrum_loss,ssim_loss,rfi_loss,detection_loss,alpha,beta,gamma,delta
37,8511,0.104766,0.043751,0.071346,0.983445,0.231044,0.9500,0.0500,0.0000,0.1000
37,8561,0.093526,0.044593,0.080863,0.977478,0.114133,0.9500,0.0500,0.0000,0.1000
37,8611,0.078334,0.082696,0.084071,0.972517,0.039071,1.0000,0.0000,0.0000,0.1000
37,8661,0.145409,0.106582,0.065975,0.974291,0.104383,0.9500,0.0500,0.0000,0.1000
38,8741,0.096365,0.047518,0.101532,0.979103,0.116771,0.9500,0.0500,0.0000,0.1000
38,8791,0.058003,0.041991,0.073572,0.973788,0.202108,1.0000,0.0000,0.0000,0.1000
38,8841,0.173369,0.056521,0.174847,0.979760,0.809542,0.9500,0.0500,0.0000,0.1000
38,8891,0.092976,0.027901,0.071097,0.977673,0.251256,0.9500,0.0500,0.0000,0.1000
39,8971,0.072344,0.067088,0.090880,0.973106,0.119649,1.0000,0.0000,0.0000,0.1000
39,9021,0.118689,0.056177,0.111786,0.974934,0.267863,0.9500,0.0500,0.0000,0.1000
39,9071,0.088267,0.032265,0.084092,0.979591,0.165979,0.9500,0.0500,0.0000,0.1000
39,9121,0.046078,0.024220,0.106687,0.976018,0.071479,0.9800,0.0200,0.0000,0.1000
40,9201,0.096310,0.047553,0.091043,0.973983,0.118230,0.9500,0.0500,0.0000,0.1000
40,9251,0.144165,0.078097,0.083250,0.975919,0.334757,0.9500,0.0500,0.0000,0.1000
40,9301,0.045995,0.038935,0.059472,0.973121,0.109540,1.0000,0.0000,0.0000,0.1000
40,9351,0.101155,0.053516,0.081420,0.978626,0.113606,0.9500,0.0500,0.0000,0.1000
41,9431,0.130903,0.053662,0.085755,0.971793,0.412912,0.9500,0.0500,0.0000,0.1000
41,9481,0.036681,0.029906,0.064988,0.974325,0.097655,1.0000,0.0000,0.0000,0.1000
41,9531,0.101909,0.050378,0.080714,0.977114,0.148662,0.9500,0.0500,0.0000,0.1000
41,9581,0.106910,0.051829,0.101024,0.975325,0.187066,0.9500,0.0500,0.0000,0.1000
42,9661,0.034022,0.020945,0.082448,0.975045,0.065849,0.9900,0.0100,0.0000,0.1000
42,9711,0.143058,0.056538,0.081086,0.980533,0.505942,0.9500,0.0500,0.0000,0.1000
42,9761,0.080631,0.037044,0.103779,0.975659,0.050530,0.9500,0.0500,0.0000,0.1000
42,9811,0.105998,0.052917,0.066507,0.978874,0.583725,1.0000,0.0000,0.0000,0.1000
43,9891,0.099069,0.044087,0.066892,0.975722,0.174670,0.9500,0.0500,0.0000,0.1000
43,9941,0.175066,0.070121,0.092927,0.973982,0.712835,0.9500,0.0500,0.0000,0.1000
43,9991,0.070971,0.073848,0.093774,0.974992,0.045081,1.0000,0.0000,0.0000,0.1000
43,10041,0.132380,0.085923,0.120397,0.971857,0.151823,0.9500,0.0500,0.0000,0.1000
44,10121,0.156884,0.122598,0.108170,0.968289,0.084890,0.9500,0.0500,0.0000,0.1000
44,10171,0.142586,0.054279,0.113027,0.975375,0.187512,0.9095,0.0905,0.0000,0.1000
44,10221,0.097445,0.050377,0.181660,0.976211,0.104439,0.9500,0.0500,0.0000,0.1000
44,10271,0.095673,0.044567,0.100535,0.977870,0.135641,0.9500,0.0500,0.0000,0.1000
